MAP,DISTANCE,DISPERSION
map1,21.30016771,-1.75
map2,21.71361051,0.5
map3,22.04548371,1.625
map4,17,0.5
map5,16.03679383,-1.75
map6,19.65067648,1.625
map7,22,0.5
map8,13.76231177,0.5
map9,21.51971567,1.625
map10,21,-0.625
map11,21.9128988,0.5
map12,19.10676941,0.5
map13,19.78255559,0.5
map14,18.74199137,-1.75
map15,12.68749294,0.5
map16,20.16922231,3.875
map17,21,0.5
map18,29.68826267,0.5
map19,29.81943638,-1.75
map20,11.36307169,0.5
map21,19.61737804,-0.625
map22,4.847893861,7.25
map23,14.06981927,-1.75
map24,23.46262847,-1.75
map25,28.30748192,0.5
map26,5.401592273,-0.625
map27,10.07665794,1.625
map28,25,2.75
map29,14.55601451,-1.75
map30,4.446067799,0.5
map31,24.38164267,1.625
map32,21,-0.625
map33,10.92480978,-0.625
map34,17.90283526,-0.625
map35,10.07720659,-1.75
map36,19.51659596,1.625
map37,22,0.5
map38,23.33203497,-0.625
map39,11.3004372,-1.75
map40,12.04014292,-0.625
map41,18.12751575,2.75
map42,22.91961181,-1.75
map43,18.40067469,0.5
map44,5.723372863,1.625
map45,21,1.625
map46,26,1.625
map47,13,1.625
map48,14,0.5
map49,21.71715458,2.75
map50,9.144567489,2.75
map51,21.52695693,2.75
map52,17.42761833,0.5
map53,17.06270902,0.5
map54,27.31422233,0.5
map55,23.09160928,0.5
map56,26.54270981,2.75
map57,18.7011355,-0.625
map58,21.70209673,1.625
map59,19,-0.625
map60,18.4841089,1.625
map61,7,2.75
map62,15.76650889,1.625
map63,18,0.5
map64,10.58934341,0.5
map65,24.60958146,1.625
map66,20,-0.625
map67,19.77358463,2.75
map68,9.345189605,2.75
map69,28.93694319,0.5
map70,24.67421807,1.625
map71,17,-1.75
map72,24.56367668,1.625
map73,13,-1.75
map74,17.03661869,2.75
map75,25.89191028,1.625
map76,24,0.5
map77,30.34900245,1.625
map78,19,0.5
map79,30.4447625,-0.625
map80,21.6361038,1.625
map81,14,2.75
map82,14.08862398,-0.625
map83,20.12223353,0.5
map84,6.255291269,3.875
map85,19,-0.625
map86,9.600151934,3.875
map87,26,5
map88,7.913701466,-0.625
map89,16.8456347,1.625
map90,27,5
map91,18.83685661,6.125
map92,15,-0.625
map93,23.59843685,-0.625
map94,19.6460524,-1.75
map95,26.08224616,1.625
map96,15,-1.75
map97,33.15191095,-1.75
map98,32.86924688,0.5
map99,13.55458753,2.75
map100,13.11327564,3.875
